id,group_id,name,short_name
Apple Music,1771784189224,Apple Music,AM
Beatroad,1771784189224,Beatroad,BR
Blue Dream media,1771784189224,Blue Dream media,BDM
CDM ENT. PHILIPPINES,1771784189224,CDM ENT. PHILIPPINES,CDM
Daily Duck,1771784189224,Daily Duck,DD
Dear My Muse,1771784189224,Dear My Muse,DMM
DMC,1771784189224,DMC Music,DMC
Everline,1771784189224,Everline,EL
FROMM STORE,1771784189224,FROMM STORE,FS
Hello82,1771784189224,Hello82,H82
Hellolive,1771784189224,Hellolive,HL
JJ MUZE,1771784189224,JJ MUZE,JJM
Joeun Music,1771784189224,Joeun Music,JM
JUMP UP,1771784189224,JUMP UP,JU
Kmonstar,1773331625412,Kmonstar,KM
KPOPSTORE,1771784189224,KPOPSTORE,KS
Ktown4u,1771784189224,Ktown4u,K4
Makestar,1771784189224,Makestar,MS
MIHWADANG RECORD,1771784189224,MIHWADANG RECORD,MR
mınırecora,1771784189224,MINIRECORD,MR
Mubeat,1771784189224,Mubeat,MB
Music Korea,1771784189224,Music Korea,MK
MUSIC&DRAMA,1771784189224,MUSIC&DRAMA,MD
MUSICART,1771784189224,MUSICART,MA
MUSICPLANT,1771784189224,MUSICPLANT,MP
My Music Taste,1771784189224,My Music Taste,MMT
MYSTARGOODS,1771784189224,MYSTARGOODS,MSG
Olive Young,1771784189224,Olive Young,OY
ON INN,1773331625412,ONINN,
Photoism,1773331625412,Photoism,PS
RISING STAR,1771784189224,RISING STAR,RS
Soundwave,1771784189224,Soundwave,SW
STARSHIP,1773331625412,STARSHIP,SSQ
Tower Records Japan,1771784189224,Tower Records Japan,塔店
UNIVERSAL MUSIC STORE,1771784189224,UNIVERSAL MUSIC STORE,UMS
Whosfan Store,1771784189224,Whosfan Store,WS
Withmuu,1771784189224,Withmuu,WM
WONDERWALL.,1771784189224,WONDERWALL.,WW
Y GLOBAL MUSIC,1771784189224,Y GLOBAL MUSIC,YGM
一直娛,1771784189224,一直娛 yzy,YZY
微樂客 willmusic,1771784189224,微樂客 willmusic,WL
愛豆驛站 adyz,1773331625412,愛豆驛站 adyz,ADYZ